Аренда,Шымкент,"8-й микрорайон, Мамытова-Юг сити , Акация",8000,"1-комн. квартира, 30 м², 2/3 этаж",Посуточно

Аренда,Атырау,"мкр Нурсая, Таумыш Жумагалиева",15000,"1-комн. квартира, 49 м², 2/5 этаж",Посуточно

Продажа,Алматы,Ауэзова,40500000,"2-комн. квартира, 62.8 м²",Не указано

Продажа,Астана,Әнет баба-Хан Шатыр Зеленый Квартал,40000000,"2-комн. квартира, 68 м², 4/16 этаж",Не указано

Аренда,Алматы,Макатаева-Панфилова,13000,"1-комн. квартира, 38 м², 3/5 этаж",Посуточно

Продажа,Алматы,"мкр Аскартау, Ремизовка-За трамплинами",270000000,Отдельный дом • 7 комнат • 407 м² • 9 сот.,Не указано

Продажа,Астана,Анет баба,31600000,"2-комн. квартира, 61.73 м²",Не указано

Продажа,Астана,Култегин,34500000,"3-комн. квартира, 85.16 м²",Не указано

Продажа,Алматы,Кенесары хана-Кофейня,32000000,"2-комн. квартира, 49 м², 6/10 этаж",Не указано

Аренда,Талдыкорган,Каблиса жырау,10000,"2-комн. квартира, 60 м², 1/4 этаж",Посуточно

Продажа,Астана,Абылай -хана-Бауыржана Момышулы,19000000,"1-комн. квартира, 39 м², 8/9 этаж",Не указано

Аренда,Алматы,"мкр Аксай-3А, Аксай-3А-Толе би Момышулы",60000,"1 комната, 12 м²",Не указано

Продажа,Бозайгыр,Женіс,12500000,Часть дома • 3 комнаты • 90 м² • 12 сот.,Не указано

Аренда,Атырау,Кулманова-Тайманова,15000,"2-комн. квартира, 60 м², 5/10 этаж",Посуточно

Продажа,Кызылорда,Ә.Бердаулетова-Панфилова,30000000,Отдельный дом • 4 комнаты • 120 м² • 6 сот.,Не указано

Продажа,Актау,"35-мкр, 35 мкр.",19500000,"2-комн. квартира, 75 м², 4/6 этаж",Не указано

Продажа,Павлодар,Майская-Лесозавод,65000000,Отдельный дом • 7 комнат • 425 м² • 7 сот.,Не указано

Продажа,Астана,Кошкарбаева-Е1 блок. InterFood,109000000,"4-комн. квартира, 176 м², 15 этаж",Не указано

Продажа,Шымкент,"мкр Северо-Запад, Северо-Запад-Алимтау",100000000,Участок 0.24 га,Не указано

Продажа,Экибастуз,Ауэзова,19100000,"2-комн. квартира, 63.65 м²",Не указано

Аренда,Актау,"17-й мкр, 17-й микрорайон",15000,"1-комн. квартира, 39 м², 13/15 этаж",Посуточно

Продажа,Астана,Кайым Мухамедханова,23400000,"2-комн. квартира, 47.36 м²",Не указано

Продажа,Алматы,Ауэзова,27200000,"2-комн. квартира, 42.53 м²",Не указано

Аренда,Алматы,Навои-Торайгырова,14000,"1-комн. квартира, 50 м², 6/13 этаж",Посуточно

Продажа,Астана,проспект Аль Фараби-Фариза Онгарсынова,23000000,"1-комн. квартира, 40 м², 9/16 этаж",Не указано

Аренда,Тараз,"Жансая 11-Тараз Арена, Аэропорт, Жансая, Спорт школа",12000,"3-комн. квартира, 80 м², 1/5 этаж",Посуточно

Аренда,Петропавловск,Нурсултана Назарбаева-Флагман. Квартирнoе бюрo CentrPetrоKz,13000,"1-комн. квартира, 31 м², 4/5 этаж",Посуточно

Аренда,Алматы,Сатпаева-Туркебаева,22000,"2-комн. квартира, 55 м², 3/12 этаж",Посуточно

Продажа,Алматы,Розыбакиева-Сатпаева,41000000,"2-комн. квартира, 45 м², 15/16 этаж",Не указано

Продажа,Актау,"21-й мкр, Радуга",6400000,Гараж • 40 м²,Не указано

Продажа,Астана,Абая-С409,24800000,"2-комн. квартира, 63.61 м²",Не указано

Аренда,Актобе,мкр 8,10000,"1-комн. квартира, 40 м², 2/5 этаж",Посуточно

Продажа,Атырау,"мкр Мунайшы, 5",225000000,Отдельный дом • 10 комнат • 386.6 м² • 12 сот.,Не указано

Продажа,Астана,Роза Багланова,19200000,"1-комн. квартира, 42.81 м²",Не указано

Аренда,Алматы,Ауэзова-Толе би Ауэзова,450000,"2-комн. квартира, 53 м², 11/17 этаж",Помесячно

Продажа,Алматы,"мкр. Улжан-1, ул. Жалайыр-Улан",32500000,"2-комн. квартира, 72.51 м²",Не указано

Аренда,Алматы,Бегалина,3900000,Офисы • 325 м²,Не указано

Аренда,Алматы,Карасай Ботыра-Розыбакиева Виноградова,400000,Свободное назначение • 133 м²,Не указано

Продажа,Астана,Туран,50600000,"4-комн. квартира, 102.15 м²",Не указано

Продажа,Кыргауылды,Актерек,60000000,Отдельный дом • 6 комнат • 250 м² • 7 сот.,Не указано

Продажа,Астана,Туран,32700000,"2-комн. квартира, 59.6 м²",Не указано

Продажа,Алматы,"мкр Ерменсай, Ушкемпирова",123700000,"5-комн. квартира, 229 м²",Не указано

Аренда,Алматы,Солодовникова-Гагарина//Сатпаева,350000,"2-комн. квартира, 60 м², 13/18 этаж",Помесячно

Продажа,Кызылорда,Орбита 2,6000000,Дача • 2 комнаты • 35 м² • 8 сот.,Не указано

Продажа,Алматы,Бурундайская,16900000,"1-комн. квартира, 41.89 м²",Не указано

Продажа,Семей,Шакарима-Пересечение Шакарима и Кабанбай батыра,53000000,"4-комн. квартира, 117 м², 5/15 этаж",Не указано

Продажа,Костанай,Алтынсарина-Павлова,28000000,"3-комн. квартира, 63 м², 2/6 этаж",Не указано

Аренда,Алматы,Мкр. Самал-3,25000,"1-комн. квартира, 42 м², 10/15 этаж",Посуточно

Аренда,Астана,"Толе би-Туран/Улы дала, Expo, Назарбаев универ, Барыс арена",12000,"1-комн. квартира, 38 м², 8/9 этаж",Посуточно

Продажа,Астана,Е778,17900000,"2-комн. квартира, 47.22 м²",Не указано

Продажа,Актау,"микрорайон 19а,",18300000,"2-комн. квартира, 73 м²",Не указано

Аренда,Алматы,Навои,13000,"1-комн. квартира, 33 м², 8/16 этаж",Посуточно

Продажа,Алтай,Шолохова,6400000,"2-комн. квартира, 41 м², 3/3 этаж",Не указано

Аренда,Астана,Туран,15000,"1-комн. квартира, 38 м², 3/9 этаж",Посуточно

Продажа,Сатпаев,"Момышулы-Момышулы, угол Артыгалиевой",40000000,Часть дома • 4 комнаты • 95 м² • 0.0693 сот.,Не указано

Аренда,Тараз,Жайлау,7000,"1-комн. квартира, 28 м², 1/5 этаж",Посуточно

Аренда,Кокшетау,Ауельбекова-Ташенова,9000,"1-комн. квартира, 42 м², 1/5 этаж",Посуточно

Продажа,Алматы,Аль-Фараби,104300000,"3-комн. квартира, 113.2 м²",Не указано

Аренда,Петропавловск,Жамбыла Жабаева-Ул.Абая,80000,"1-комн. квартира, 32 м², 4/5 этаж",Помесячно

Аренда,Алматы,мкр Жетысу-2,10000,"1-комн. квартира, 45 м², 5/9 этаж",Посуточно

Продажа,Усть-Каменогорск,И.Есенберлина,22800000,"2-комн. квартира, 60.07 м²",Не указано

Продажа,Астана,Алихана Бокейханова,41000000,"3-комн. квартира, 95 м², 1/9 этаж",Не указано

Продажа,Алматы,Аль-Фараби,144400000,"4-комн. квартира, 150.4 м²",Не указано

Продажа,Махамбетов,Өткелбаев көшесі,15000000,Отдельный дом • 4 комнаты • 12 м² • 20 сот.,Не указано

Аренда,Алматы,Шевченко,12000,"1-комн. квартира, 40 м², 5/12 этаж",Посуточно

Аренда,Караганда,Гоголя,8000,"1-комн. квартира, 32 м², 2 этаж",Посуточно

Продажа,Астана,Е 915,26600000,"3-комн. квартира, 67.44 м²",Не указано

Продажа,Алматы,Аль-Фараби,105000000,"3-комн. квартира, 123.6 м², 4/13 этаж",Не указано

Продажа,Алматы,Бауыржана Момышулы,38900000,"4-комн. квартира, 106.65 м²",Не указано

Аренда,Уральск,С.Асан акжайык-Мечеть,900000,5-комнатный дом,Помесячно

Продажа,Астана,Кайым Мухамедханова,57800000,"4-комн. квартира, 133.44 м²",Не указано

Аренда,Кокшетау,"Ауельбекова 50-Жениса-Военкомат, ЦУМ,КГУ им Уалиханова,Площадь,Парк",10000,"1-комн. квартира, 50 м², 9/9 этаж",Посуточно

Аренда,Талдыкорган,Назарбааеа-Желтоксан,8000,"2-комн. квартира, 60 м², 2/5 этаж",Посуточно

Продажа,Бейнеу,Меңдіқұл Батыр-Тасастау көшесіне қарама қарсы үй,15500000,Отдельный дом • 5 комнат • 10 м² • 10 сот.,Не указано

Аренда,Актау,Жемчужная,25000,"2-комн. квартира, 80 м², 3/4 этаж",Посуточно

Аренда,Алматы,,0,Возьму в аренду помещение в,Не указано

Продажа,Акмол,Бахыта,13500000,Отдельный дом • 3 комнаты • 70 м² • 3.72 сот.,Не указано

Аренда,Астана,Кабанбай батыра,250000,"2-комн. квартира, 70 м², 7/15 этаж",Помесячно

Продажа,Астана,Орынбор,59000000,"3-комн. квартира, 94 м², 7/9 этаж",Не указано

Аренда,Атырау,Сырыма Датова,18000,"3-комн. квартира, 60 м², 5/5 этаж",Посуточно

Аренда,Актау,"17-й мкр, 17 микрорайон",12000,"1-комн. квартира, 55 м², 4/16 этаж",Посуточно

Продажа,Алматы,Гагарина,97100000,"3-комн. квартира, 118.8 м²",Не указано

service_type,city,address,price,description,payment_range

Аренда,Алматы,Гагарина проспект-Абая,23000,"2-комн. квартира, 64 м², 5/16 этаж",Посуточно

Аренда,Алматы,Манаса-Абая,20000,"2-комн. квартира, 78 м², 2/12 этаж",Посуточно

Аренда,Алматы,Мустай Карима-Жандосова,16000,"2-комн. квартира, 70 м², 1/9 этаж",Посуточно

Аренда,Павлодар,Академика сатпаева,8000,"1-комн. квартира, 35 м², 2/5 этаж",Посуточно

Аренда,Шымкент,Бейбитшилик-Республики,15000,"2-комн. квартира, 60 м², 3/4 этаж",Посуточно

Аренда,Алматы,Навои-Торайгырова,14000,"1-комн. квартира, 50 м², 6/13 этаж",Посуточно

Аренда,Алматы,Казыбек би-Байтурсынова,15000,"1-комн. квартира, 20 м², 9/9 этаж",Посуточно

Аренда,Алматы,Сатпаева,40000,"3-комн. квартира, 101 м², 2/16 этаж",Посуточно

Аренда,Кокшетау,"Наурызбай батыра-Жк Аружан, назарбаева / наурызбай батыра",11000,"1-комн. квартира, 45 м²",Посуточно

Аренда,Алматы,,0,Возьму в аренду помещение в,Не указано

Аренда,Караганда,"мкр Новый Город, Нуркена Абдирова",8000,"1-комн. квартира, 38 м², 2/5 этаж",Посуточно

Аренда,Астана,Калдаяков-Тауелсыздык,260000,"2-комн. квартира, 90 м², 3/22 этаж",Помесячно

Аренда,Павлодар,Назарбаева-Жаяу Мусы,10000,"1-комн. квартира, 42 м², 9/9 этаж",Посуточно

Аренда,Караганда,проспект Бухар жырау,10000,"1-комн. квартира, 30 м², 2/5 этаж",Посуточно

Аренда,Актау,Жемчужная,25000,"2-комн. квартира, 80 м², 3/4 этаж",Посуточно

Аренда,Астана,Тоқпанов,17000,"2-комн. квартира, 55 м², 7/9 этаж",Посуточно

Аренда,Шымкент,"мкр Нурсат 2, Аргынбекова-Шымкент спа по улице Аргынбекова",13000,"1-комн. квартира, 40 м², 3/9 этаж",Посуточно

Аренда,Караганда,мкр Юго-Восток,15000,"1-комн. квартира, 40 м², 15/20 этаж",Посуточно

service_type,city,address,price,description,payment_range

Продажа,Уральск,мкр Кадыра Мырза-Али,16500000,"1-комн. квартира, 44.7 м², 4/5 этаж",Не указано

Продажа,Астана,Тлендиева,13500000,"1-комн. квартира, 39.4 м², 10/14 этаж",Не указано

Продажа,Уральск,Темира Масина-Курмангазы,17500000,"2-комн. квартира, 75.6 м², 1/9 этаж",Не указано

Продажа,Алматы,Розыбакиева,62800000,"3-комн. квартира, 84.8 м²",Не указано

Продажа,Балхаш,Байсеитова-ТД Керуен,28000000,"3-комн. квартира, 82 м², 2/4 этаж",Не указано

Продажа,Астана,Алихана Бокейханова,27500000,"2-комн. квартира, 67.5 м², 9/9 этаж",Не указано

Продажа,Павлодар,Ледовского,24000000,"3-комн. квартира, 87 м², 3/5 этаж",Не указано

Продажа,Астана,Амман,35000000,"1-комн. квартира, 41.6 м²",Не указано

Продажа,Алматы,Кабанбай батыра,47100000,"2-комн. квартира, 67.3 м²",Не указано

Продажа,Астана,Кошкарбаева-Кошкарбаева,44900000,"4-комн. квартира, 122 м², 7/12 этаж",Не указано

Продажа,Алматы,Кенесары хана-Кофейня,32000000,"2-комн. квартира, 49 м², 6/10 этаж",Не указано

Продажа,Косшы,"Лесная поляна-Срочно, торг",9000000,"1-комн. квартира, 31 м², 2/5 этаж",Не указано

Продажа,Косшы,Лесная поляна,18000000,"3-комн. квартира, 60 м²",Не указано

Продажа,Прибрежное,Бостандыкская,35000000,Отдельный дом • 4 комнаты • 140 м² • 10 сот.,Не указано

service_type,city,address,price,description,payment_range

Аренда,Уральск,мкр Жана Орда,12000,"1-комн. квартира, 45 м², 4/5 этаж",Посуточно

Аренда,Костанай,"Юбилейный, Мкр. Юбилейный-НИШ",9000,"1-комн. квартира, 40 м², 5/9 этаж",Посуточно

Аренда,Актау,11-й мкр,2000000,Свободное назначение • 800 м²,Не указано

Аренда,Туркестан,9 улица-Саттарханов,8000,"1-комн. квартира, 45 м², 3/7 этаж",Посуточно

Аренда,Алматы,"мкр Аксай-1, Аксай - 1 мкр-Момышулы ташкетская",10000,"1-комн. квартира, 45 м², 2/10 этаж",Посуточно

Аренда,Алматы,Навои-Торайгырова,20000,"2-комн. квартира, 79 м², 8/18 этаж",Посуточно

Аренда,Алматы,Ауэзова-Ауэзова и Жандосова,300000,"1-комн. квартира, 34 м², 4/4 этаж",Помесячно

Аренда,Астана,Анет баба,13000,"1-комн. квартира, 50 м², 8/24 этаж",Посуточно

Аренда,Туркестан,Жк Арман,10000,"2-комн. квартира, 68 м², 3/5 этаж",Посуточно

Аренда,Алматы,Макатаева-Муратбаева,15000,"1-комн. квартира, 80 м², 12/13 этаж",Посуточно

Аренда,Костанай,Назарбаева-Назарбаева,8500,"1-комн. квартира, 40 м², 1/6 этаж",Посуточно

Аренда,Астана,Жошы хана,350000,Свободное назначение • 55 м²,Не указано

Аренда,Петропавловск,Интернациональная-Vita Haus,270000,"1-комн. квартира, 35 м², 2/5 этаж",Помесячно

Аренда,Кокшетау,Ашимова-Назарбаева,10000,"1-комн. квартира, 51 м², 5/9 этаж",Посуточно

service_type,city,address,price,description,payment_range

Продажа,Алматы,Сейдимбек,45000000,"3-комн. квартира, 72 м², 2/3 этаж",Не указано

Продажа,Астана,Сатпаева,34800000,"3-комн. квартира, 90.9 м², 3/10 этаж",Не указано

Продажа,Астана,Дукенулы,22900000,"2-комн. квартира, 62 м², 4/12 этаж",Не указано

Продажа,Бесагаш,Майқыби-Алатау трасса майқыби көшесі,96000000,Отдельный дом • 6 комнат • 240 м² • 6 сот.,Не указано

Продажа,Астана,Отырар,20000000,"1-комн. квартира, 40.2 м², 2/10 этаж",Не указано

Продажа,Актобе,Есет батыра-Абубакар Кердеры,250000000,"Свободное назначение, магазины и бутики, общепит, развлечения • 1200 м²",Не указано

Продажа,Тараз,Каратау 2 мкр,22500000,"4-комн. квартира, 75.5 м², 1/5 этаж",Не указано

Продажа,Тараз,Барбол-Өзбек ақын,32000000,Отдельный дом • 6 комнат • 170 м² • 8.5 сот.,Не указано

Продажа,Алматы,Масанчи-Гоголя масанчи,57000000,"2-комн. квартира, 75 м², 12/16 этаж",Не указано

Продажа,Актау,"22-й мкр, 22 микрорайон",10000000,Свободное назначение • 230 м²,Не указано

Продажа,Алматы,мкр Курылысшы,55000000,Отдельный дом • 4 комнаты • 95 м² • 6 сот.,Не указано

Продажа,Караганда,"мкр Юго-Восток, Республики",22000000,"3-комн. квартира, 65 м², 4/5 этаж",Не указано

Продажа,Туркестан,"Жана кала, 9 улица-Пересечение 9 улица Шымкент тас жолы",19000000,"2-комн. квартира, 64 м², 7/12 этаж",Не указано

Продажа,Павлодар,"Бекхожина-Бекхожина, майры",21000000,"2-комн. квартира, 64 м², 10/10 этаж",Не указано

Продажа,Айганым,Маметова-Магазина Нурай,47000000,Отдельный дом • 7 комнат • 170 м² • 8 сот.,Не указано

Продажа,Уральск,Абая-Остановки Диана и Школьник,22000000,"3-комн. квартира, 63.7 м², 7/9 этаж",Не указано

Продажа,Павлодар,Павлова,19000000,"2-комн. квартира, 68.1 м², 1/5 этаж",Не указано

Продажа,Уральск,"мкр. Зачаганск пгт, Мкр. Сарытау, таттымбет-Таттымбет",27500000,Отдельный дом • 5 комнат • 137 м² • 5 сот.,Не указано

service_type,city,address,price,description,payment_range

Аренда,Уральск,мкр Жана Орда,12000,"1-комн. квартира, 45 м², 4/5 этаж",Посуточно

Аренда,Костанай,"Юбилейный, Мкр. Юбилейный-НИШ",9000,"1-комн. квартира, 40 м², 5/9 этаж",Посуточно

Аренда,Актау,11-й мкр,2000000,Свободное назначение • 800 м²,Не указано

Аренда,Туркестан,9 улица-Саттарханов,8000,"1-комн. квартира, 45 м², 3/7 этаж",Посуточно

Аренда,Алматы,"мкр Аксай-1, Аксай - 1 мкр-Момышулы ташкетская",10000,"1-комн. квартира, 45 м², 2/10 этаж",Посуточно

Аренда,Алматы,Навои-Торайгырова,20000,"2-комн. квартира, 79 м², 8/18 этаж",Посуточно

Аренда,Алматы,Ауэзова-Ауэзова и Жандосова,300000,"1-комн. квартира, 34 м², 4/4 этаж",Помесячно

Аренда,Астана,Анет баба,13000,"1-комн. квартира, 50 м², 8/24 этаж",Посуточно

Аренда,Туркестан,Жк Арман,10000,"2-комн. квартира, 68 м², 3/5 этаж",Посуточно

Аренда,Алматы,Макатаева-Муратбаева,15000,"1-комн. квартира, 80 м², 12/13 этаж",Посуточно

Аренда,Костанай,Назарбаева-Назарбаева,8500,"1-комн. квартира, 40 м², 1/6 этаж",Посуточно

Аренда,Астана,Жошы хана,350000,Свободное назначение • 55 м²,Не указано

Аренда,Петропавловск,Интернациональная-Vita Haus,270000,"1-комн. квартира, 35 м², 2/5 этаж",Помесячно

Аренда,Кокшетау,Ашимова-Назарбаева,10000,"1-комн. квартира, 51 м², 5/9 этаж",Посуточно

service_type,city,address,price,description,payment_range

Продажа,Алматы,Сейдимбек,45000000,"3-комн. квартира, 72 м², 2/3 этаж",Не указано

Продажа,Астана,Сатпаева,34800000,"3-комн. квартира, 90.9 м², 3/10 этаж",Не указано

Продажа,Астана,Дукенулы,22900000,"2-комн. квартира, 62 м², 4/12 этаж",Не указано

Продажа,Бесагаш,Майқыби-Алатау трасса майқыби көшесі,96000000,Отдельный дом • 6 комнат • 240 м² • 6 сот.,Не указано

Продажа,Астана,Отырар,20000000,"1-комн. квартира, 40.2 м², 2/10 этаж",Не указано

Продажа,Актобе,Есет батыра-Абубакар Кердеры,250000000,"Свободное назначение, магазины и бутики, общепит, развлечения • 1200 м²",Не указано

Продажа,Тараз,Каратау 2 мкр,22500000,"4-комн. квартира, 75.5 м², 1/5 этаж",Не указано

Продажа,Тараз,Барбол-Өзбек ақын,32000000,Отдельный дом • 6 комнат • 170 м² • 8.5 сот.,Не указано

Продажа,Алматы,Масанчи-Гоголя масанчи,57000000,"2-комн. квартира, 75 м², 12/16 этаж",Не указано

Продажа,Актау,"22-й мкр, 22 микрорайон",10000000,Свободное назначение • 230 м²,Не указано

Продажа,Алматы,мкр Курылысшы,55000000,Отдельный дом • 4 комнаты • 95 м² • 6 сот.,Не указано

Продажа,Караганда,"мкр Юго-Восток, Республики",22000000,"3-комн. квартира, 65 м², 4/5 этаж",Не указано

Продажа,Туркестан,"Жана кала, 9 улица-Пересечение 9 улица Шымкент тас жолы",19000000,"2-комн. квартира, 64 м², 7/12 этаж",Не указано

Продажа,Павлодар,"Бекхожина-Бекхожина, майры",21000000,"2-комн. квартира, 64 м², 10/10 этаж",Не указано

Продажа,Айганым,Маметова-Магазина Нурай,47000000,Отдельный дом • 7 комнат • 170 м² • 8 сот.,Не указано

Продажа,Уральск,Абая-Остановки Диана и Школьник,22000000,"3-комн. квартира, 63.7 м², 7/9 этаж",Не указано

Продажа,Павлодар,Павлова,19000000,"2-комн. квартира, 68.1 м², 1/5 этаж",Не указано

Продажа,Уральск,"мкр. Зачаганск пгт, Мкр. Сарытау, таттымбет-Таттымбет",27500000,Отдельный дом • 5 комнат • 137 м² • 5 сот.,Не указано

service_type,city,address,price,description,payment_range

Аренда,Актау,17-й мкр,12000,"1-комн. квартира, 40 м²",Посуточно

Аренда,Актау,13-й мкр,12000,"1-комн. квартира, 47 м²",Посуточно

Аренда,Костанай,Юбилейный мкр-Юбилейный 2,11000,"1-комн. квартира, 40 м², 9/9 этаж",Посуточно

Аренда,Алматы,Манаса-Абая,25000,"2-комн. квартира, 40 м², 3/14 этаж",Посуточно

Аренда,Актобе,"мкр. Алтын орда, Молдагуловой",13000,"1-комн. квартира, 45 м², 6/7 этаж",Посуточно

Аренда,Астана,Гейдар Алиева,10000,"1-комн. квартира, 43 м², 8/12 этаж",Посуточно

Аренда,Уральск,мкр Жана Орда,12000,"1-комн. квартира, 45 м², 4/5 этаж",Посуточно

Аренда,Костанай,"Юбилейный, Мкр. Юбилейный-НИШ",9000,"1-комн. квартира, 40 м², 5/9 этаж",Посуточно

Аренда,Актау,11-й мкр,2000000,Свободное назначение • 800 м²,Не указано

Аренда,Туркестан,9 улица-Саттарханов,8000,"1-комн. квартира, 45 м², 3/7 этаж",Посуточно

Аренда,Алматы,"мкр Аксай-1, Аксай - 1 мкр-Момышулы ташкетская",10000,"1-комн. квартира, 45 м², 2/10 этаж",Посуточно

Аренда,Алматы,Навои-Торайгырова,20000,"2-комн. квартира, 79 м², 8/18 этаж",Посуточно

Аренда,Алматы,Ауэзова-Ауэзова и Жандосова,300000,"1-комн. квартира, 34 м², 4/4 этаж",Помесячно

Аренда,Астана,Анет баба,13000,"1-комн. квартира, 50 м², 8/24 этаж",Посуточно

service_type,city,address,price,description,payment_range

Продажа,Алматы,Сейдимбек,45000000,"3-комн. квартира, 72 м², 2/3 этаж",Не указано

Продажа,Астана,Сатпаева,34800000,"3-комн. квартира, 90.9 м², 3/10 этаж",Не указано

Продажа,Астана,Дукенулы,22900000,"2-комн. квартира, 62 м², 4/12 этаж",Не указано

Продажа,Бесагаш,Майқыби-Алатау трасса майқыби көшесі,96000000,Отдельный дом • 6 комнат • 240 м² • 6 сот.,Не указано

Продажа,Астана,Отырар,20000000,"1-комн. квартира, 40.2 м², 2/10 этаж",Не указано

Продажа,Актобе,Есет батыра-Абубакар Кердеры,250000000,"Свободное назначение, магазины и бутики, общепит, развлечения • 1200 м²",Не указано

Продажа,Тараз,Каратау 2 мкр,22500000,"4-комн. квартира, 75.5 м², 1/5 этаж",Не указано

Продажа,Тараз,Барбол-Өзбек ақын,32000000,Отдельный дом • 6 комнат • 170 м² • 8.5 сот.,Не указано

Продажа,Алматы,Масанчи-Гоголя масанчи,57000000,"2-комн. квартира, 75 м², 12/16 этаж",Не указано

Продажа,Актау,"22-й мкр, 22 микрорайон",10000000,Свободное назначение • 230 м²,Не указано

Продажа,Алматы,мкр Курылысшы,55000000,Отдельный дом • 4 комнаты • 95 м² • 6 сот.,Не указано

Продажа,Караганда,"мкр Юго-Восток, Республики",22000000,"3-комн. квартира, 65 м², 4/5 этаж",Не указано

Продажа,Туркестан,"Жана кала, 9 улица-Пересечение 9 улица Шымкент тас жолы",19000000,"2-комн. квартира, 64 м², 7/12 этаж",Не указано

Продажа,Павлодар,"Бекхожина-Бекхожина, майры",21000000,"2-комн. квартира, 64 м², 10/10 этаж",Не указано

